Question,Answer
Address?,"Contrada Calafarina SNC, Marzamemi (SR) 96018, Italy, Borgo84"
Max capacity?,"Max 4 people: 2 in the bedroom (double bed), 2 in the living room (sofa bed)."
Size?,36 square meters.
Airbnb description?,"Just steps from the beach in a private residence, 400m from Marzamemi port. Modern comforts with Sicilian charm, a fully equipped kitchen, private garden, and private parking for a peaceful stay."
Booking.com description?,"Acquamarina - Exclusive Apartment with 2 Pools in Marzamemi. 1-bedroom holiday home with air conditioning, free WiFi, private parking, fully equipped kitchen, and patio with sea views. Pool with fenced garden. Nearby: Spiaggia Cavettone (800m), Vendicari Reserve (17km), Noto Cathedral (25km)."
Airports?,"Comiso Airport: 82 km, Catania Airport: 100 km."
Check-in time?,From 15:00 to 00:00. Notify in advance.
Check-out time?,From 00:00 to 11:00.
Cancellation policy?,Varies by booking type. Check terms before booking.
Children?,All children are welcome. Enter the correct number/ages when booking.
Extra beds?,No extra beds available.
Smoking?,Smoking is not allowed.
Pets?,Pets allowed for free.
House rules?,No age restriction for check-in. Follow property guidelines for a smooth stay.
Contact?,"WhatsApp: +393501158152, Email: acquamarina.marzamemi@gmail.com"
License number?,"19089014B456456, IT089014B4BWLK4YB"
Guest rating?,Guest rating: 8.5
Amenities?,"2 Outdoor pools (infinity pool with sea view, idromassaggio, children's pool), non-smoking rooms, free private parking, free high-speed WiFi (46 Mbps), family rooms."
Parking?,"Free private parking on-site, no reservation needed."
Internet?,"Free high-speed WiFi (46 Mbps), suitable for HD streaming and video calls."
Kitchen?,"Fully equipped: dining table, coffee machine, cleaning products, toaster, stove, oven, cookware, kettle, washing machine, refrigerator, kitchenette."
Bedroom?,"Linen, wardrobe/closet."
Bathroom?,"Toilet paper, towels, bidet, shower, private bathroom, WC, free toiletries, hairdryer."
Living room?,"Dining area, sofa, seating area."
Entertainment?,"Flat-screen TV, cable channels, pay-per-view channels."
Features?,"Near-bed power outlet, sofa bed, drying rack, clothes rack, tiled/marble floor, soundproofing, private entrance, iron & ironing board."
Accessibility?,Entire unit on the ground floor.
Outdoor?,"Picnic area, outdoor furniture, outdoor dining area, patio, garden."
Pool?,"2 pools available: infinity pool with sea view, idromassaggio (hydrotherapy pool), and children's pool. Seasonal, all ages welcome, shallow area, sun loungers, umbrellas, fenced pool."
Wellness?,"Idromassaggio (hydrotherapy pool), outdoor gym, sun loungers, umbrellas."
Food?,"Tea/coffee maker and Oil, Salt and Sugar."
Activities?,"Beach nearby, 2 pools (infinity pool with sea view, idromassaggio, children's pool), outdoor gym, cycling lane, beach volleyball court, and padel court."
Views?,"Garden view, sea view."
Building?,Private apartment in a semi-detached building.
Reception?,Invoice available on request.
Facilities?,"Air conditioning, non-smoking property, heating, family rooms, non-smoking rooms."
Security?,CCTV cameras outside the property.
Languages?,"German, English, Spanish, Italian."
Owner?,Dr Rodolfo Alberti.
Cleaning equipment?,"The house has basic cleaning equipment including a broom and mop. A cleaning service is also available: €60 for basic cleaning, or €90 for cleaning or complete linen change. The service can be arranged with one day's advance notice."
Nearest supermarket?,"The nearest recommended supermarket is 3-4 km away. Public transport to Marzamemi and Pachino is limited, so a car is recommended for convenience."
Restaurants?,"La Cialoma, located in the center of Marzamemi, is highly recommended for authentic Sicilian cuisine."
Flexible check-in?,"Yes, check-in time is flexible. Just inform the host about your expected arrival time in advance."
Distance from cities?,"The location is reachable by car from major cities. For reference, it's typically a multi-day journey from northern Italy (e.g., Milan to Naples to Marzamemi)."
Dishwasher?,"No, we do not have a dishwasher."
Washing machine?,"Yes, we do have a washing machine."
Dryer?,"No, we don't have a dryer, but the Sicilian sun is enough."
Microwave?,"No, the kitchen is equipped with a traditional oven."
Stove?,"Yes, we have an induction stove."
Refrigerator?,"Yes, we have a refrigerator, complete with freezer."
Coffee machine?,"Yes, we have a coffee machine with good quality coffee already offered for free, the machine is a single-serve pod machine."
Airbnb link?,https://www.airbnb.com/rooms/1453439455106920703
Booking.com link?,https://www.booking.com/hotel/it/acquamarina-pachino.html
Blackout or electrical issues?,"FIRST: Watch our step-by-step YouTube tutorial video: https://youtu.be/wAyNoa6Fr68. The video clearly shows how to locate and reset the circuit breaker.

If unable to access the video, follow these steps:
1. Find the circuit breaker on the back of the house
2. Check which appliances were running before the outage
3. Unplug high-consumption appliances (air conditioner, oven, etc.)
4. Reset the main switch
5. Gradually reconnect appliances one by one

IMPORTANT: The power limit in Italy is 4kW. Avoid using air conditioners, washing machine, and oven simultaneously."
Emergency contacts?,"For urgent assistance:
- WhatsApp: +393501158152
- Email: acquamarina.marzamemi@gmail.com
Please contact immediately in case of repeated power outages or any other emergencies."
Booking platforms?,"The property is available on:
- Airbnb: https://www.airbnb.com/rooms/1453439455106920703
- Booking.com: https://www.booking.com/hotel/it/acquamarina-pachino.html
Pool shared?,"The pools are shared among all guests of the village. The house is located in a newly built village with similar accommodations, and all guests have access to the communal pool."
Fenced for dogs?,"Yes, the entire village is fenced and enclosed. While there are no fences dividing individual apartments within the village, the whole area is surrounded by a perimeter fence, making it safe for dogs."
